step 129 dis: 0.23012304306030273,reward: 0.020733896642923355, std: 0.1
step 132 dis: 0.22743958234786987,reward: 0.02180767059326172, std: 0.1
step 130 dis: 0.23033325374126434,reward: 0.020750397816300392, std: 0.1
step 133 dis: 0.22772741317749023,reward: 0.021689437329769135, std: 0.1
step 131 dis: 0.2300354540348053,reward: 0.02086791954934597, std: 0.1
step 134 dis: 0.22824978828430176,reward: 0.021603476256132126, std: 0.1
step 132 dis: 0.22858746349811554,reward: 0.02129216119647026, std: 0.1
step 135 dis: 0.22806407511234283,reward: 0.021556153893470764, std: 0.1
step 133 dis: 0.228293314576149,reward: 0.021573107689619064, std: 0.1
step 136 dis: 0.227579727768898,reward: 0.02196991816163063, std: 0.1
step 134 dis: 0.22751402854919434,reward: 0.021922212094068527, std: 0.1
step 137 dis: 0.22783978283405304,reward: 0.021785860881209373, std: 0.1
step 135 dis: 0.2284235656261444,reward: 0.02151275984942913, std: 0.1
step 138 dis: 0.2277294248342514,reward: 0.02170957252383232, std: 0.1
step 136 dis: 0.22908493876457214,reward: 0.021115832030773163, std: 0.1
step 139 dis: 0.22851186990737915,reward: 0.021496780216693878, std: 0.1
step 137 dis: 0.22782716155052185,reward: 0.02172246016561985, std: 0.1
step 140 dis: 0.2276308834552765,reward: 0.021921297535300255, std: 0.1
step 141 dis: 0.2290990650653839,reward: 0.021188030019402504, std: 0.1
step 138 dis: 0.22785910964012146,reward: 0.021659335121512413, std: 0.1
step 142 dis: 0.22697903215885162,reward: 0.02226327359676361, std: 0.1
step 139 dis: 0.2268957495689392,reward: 0.022115645930171013, std: 0.1
step 143 dis: 0.22889254987239838,reward: 0.021223396062850952, std: 0.1
step 140 dis: 0.22699347138404846,reward: 0.022176798433065414, std: 0.1
step 144 dis: 0.2291286438703537,reward: 0.021151307970285416, std: 0.1
step 141 dis: 0.22866781055927277,reward: 0.02139364369213581, std: 0.1
step 142 dis: 0.2277752161026001,reward: 0.021815363317728043, std: 0.1
step 143 dis: 0.22711533308029175,reward: 0.022008948028087616, std: 0.1
step 144 dis: 0.22744742035865784,reward: 0.02186177298426628, std: 0.1
step 145 dis: 0.22828024625778198,reward: 0.021618973463773727, std: 0.1
step 145 dis: 0.22783346474170685,reward: 0.021748937666416168, std: 0.1
step 146 dis: 0.22683867812156677,reward: 0.022222496569156647, std: 0.1
step 146 dis: 0.226950004696846,reward: 0.02204432338476181, std: 0.1
step 147 dis: 0.22663915157318115,reward: 0.022348500788211823, std: 0.1
step 147 dis: 0.22657524049282074,reward: 0.022385388612747192, std: 0.1
step 148 dis: 0.2257850170135498,reward: 0.02261778712272644, std: 0.1
step 148 dis: 0.2261514812707901,reward: 0.022489450871944427, std: 0.1
step 149 dis: 0.2269899845123291,reward: 0.022148095071315765, std: 0.1
step 149 dis: 0.2254537045955658,reward: 0.022700827568769455, std: 0.1
step 150 dis: 0.22663110494613647,reward: 0.022310415282845497, std: 0.1
step 150 dis: 0.2252841740846634,reward: 0.022923439741134644, std: 0.1
step 151 dis: 0.22592869400978088,reward: 0.02261783368885517, std: 0.1
step 151 dis: 0.22798748314380646,reward: 0.021621402353048325, std: 0.1
step 152 dis: 0.22624565660953522,reward: 0.02251214161515236, std: 0.1
step 152 dis: 0.22685223817825317,reward: 0.022218381986021996, std: 0.1
step 153 dis: 0.2255169302225113,reward: 0.02283663861453533, std: 0.1
step 154 dis: 0.2263784110546112,reward: 0.02231253683567047, std: 0.1
step 153 dis: 0.22555696964263916,reward: 0.022717654705047607, std: 0.1
step 155 dis: 0.22546641528606415,reward: 0.022756507620215416, std: 0.1
step 154 dis: 0.2236444056034088,reward: 0.02349226549267769, std: 0.1
step 156 dis: 0.2263367772102356,reward: 0.022465774789452553, std: 0.1
step 155 dis: 0.2256552278995514,reward: 0.022597355768084526, std: 0.1
step 157 dis: 0.22618871927261353,reward: 0.022432677447795868, std: 0.1
step 156 dis: 0.22464001178741455,reward: 0.023141365498304367, std: 0.1
step 158 dis: 0.22581259906291962,reward: 0.022687271237373352, std: 0.1
step 157 dis: 0.22605779767036438,reward: 0.022512605413794518, std: 0.1
step 159 dis: 0.2258671671152115,reward: 0.022537296637892723, std: 0.1
step 158 dis: 0.22750404477119446,reward: 0.02206362411379814, std: 0.1
step 160 dis: 0.22557862102985382,reward: 0.02271221950650215, std: 0.1
step 161 dis: 0.22544172406196594,reward: 0.022840069606900215, std: 0.1
step 159 dis: 0.22704148292541504,reward: 0.02213820442557335, std: 0.1
step 162 dis: 0.22653040289878845,reward: 0.022446535527706146, std: 0.1
step 160 dis: 0.22679078578948975,reward: 0.022229105234146118, std: 0.1
step 161 dis: 0.2263481318950653,reward: 0.02243831939995289, std: 0.1
step 163 dis: 0.22544054687023163,reward: 0.022748593240976334, std: 0.1
step 164 dis: 0.2253248244524002,reward: 0.02283623069524765, std: 0.1
step 162 dis: 0.22612816095352173,reward: 0.02253854088485241, std: 0.1
step 165 dis: 0.22581776976585388,reward: 0.02253171242773533, std: 0.1
step 163 dis: 0.22676146030426025,reward: 0.022199593484401703, std: 0.1
step 166 dis: 0.2263914793729782,reward: 0.02226772904396057, std: 0.1
step 164 dis: 0.2276393175125122,reward: 0.021994978189468384, std: 0.1
step 167 dis: 0.22624889016151428,reward: 0.022316504269838333, std: 0.1
step 165 dis: 0.22512099146842957,reward: 0.022899985313415527, std: 0.1
step 168 dis: 0.2259964495897293,reward: 0.022540699690580368, std: 0.1
step 166 dis: 0.22447901964187622,reward: 0.023323727771639824, std: 0.1
step 167 dis: 0.22388067841529846,reward: 0.023515671491622925, std: 0.1
step 168 dis: 0.22387415170669556,reward: 0.02353704907000065, std: 0.1
step 169 dis: 0.22513751685619354,reward: 0.022890478372573853, std: 0.1
step 169 dis: 0.22510069608688354,reward: 0.023015223443508148, std: 0.1
step 170 dis: 0.22376585006713867,reward: 0.023511381819844246, std: 0.1
step 170 dis: 0.22418685257434845,reward: 0.023483391851186752, std: 0.1
step 171 dis: 0.223651722073555,reward: 0.02352752536535263, std: 0.1
step 171 dis: 0.22334855794906616,reward: 0.023975063115358353, std: 0.1
step 172 dis: 0.22459445893764496,reward: 0.023298926651477814, std: 0.1
step 172 dis: 0.22409722208976746,reward: 0.023453621193766594, std: 0.1
step 173 dis: 0.22455818951129913,reward: 0.02310887537896633, std: 0.1
